id,mesto,payroll_F,payroll_L,payroll_ZF,payroll_total,allcsv_F,allcsv_L,allcsv_ZF,allcsv_fte,allcsv_fte_n,diff_F,diff_L,diff_ZF,diff_total
629,"Nová Dubnica., Na Mikl.",0.78,1.57,0.71,3.06,0.74,1.57,0.67,2.99,0.6,0.04,-0.0,0.03,0.07
630,Ľubica,0.47,0.81,0.72,2.0,0.56,0.87,0.76,2.18,0.57,-0.09,-0.05,-0.04,-0.18
631,Komárno (DZ),0.0,0.81,0.88,1.69,0.05,0.85,0.9,1.8,0.21,-0.05,-0.05,-0.02,-0.11
633,Sereď (DZ),0.7,0.86,0.84,2.41,0.73,0.89,0.86,2.48,0.33,-0.03,-0.03,-0.02,-0.08
634,"Kežmarok, Severka",1.15,0.76,0.9,2.81,1.13,0.78,0.91,2.82,1.01,0.02,-0.02,-0.01,-0.01
635,"Bratislava, Danubia",2.0,2.52,0.4,4.92,2.08,2.48,0.43,5.0,0.72,-0.08,0.04,-0.04,-0.08
637,Lučenec (DZ),0.08,0.0,0.58,0.65,0.32,0.01,0.69,1.02,0.05,-0.24,-0.01,-0.11,-0.37
638,"Bratislava, Tehelná",1.58,0.0,0.77,2.35,1.61,,0.69,2.3,0.34,-0.03,,0.08,0.05
639,Galanta,1.63,1.59,0.84,4.06,1.65,1.65,0.85,4.15,0.73,-0.02,-0.05,-0.01,-0.09
649,Šaľa,1.68,0.0,0.75,2.43,1.74,,0.78,2.52,0.41,-0.07,,-0.03,-0.09
661,Košice,0.0,0.75,0.81,1.56,0.14,0.9,0.82,1.87,0.33,-0.14,-0.15,-0.01,-0.3
662,,0.8,0.81,0.11,1.72,,,,,,,,,
663,Likavka,0.0,0.0,0.83,0.83,0.11,,0.85,0.96,0.13,-0.11,,-0.02,-0.13
664,Trstená,1.75,1.24,0.21,3.21,1.85,1.26,0.21,3.32,0.98,-0.1,-0.01,-0.0,-0.11
